iter	Passed	Remaining
517	571	531
518	572	530
519	574	529
520	575	528
521	576	527
522	577	526
523	578	525
524	579	524
525	580	523
526	581	522
527	582	521
528	583	519
529	585	518
530	586	517
531	587	516
532	588	515
533	589	514
534	590	513
535	591	512
536	592	511
537	593	510
538	595	508
539	596	507
540	597	506
541	598	505
542	599	504
543	600	503
544	601	502
545	602	501
546	603	500
547	605	499
548	606	498
549	608	497
550	609	496
551	610	495
552	611	494
553	612	493
554	613	492
555	614	491
556	615	489
557	617	488
558	618	487
559	619	486
560	620	485
561	621	484
562	622	483
563	623	482
564	624	481
565	625	479
566	627	478
567	628	477
568	629	476
569	630	475
570	631	474
571	632	473
572	633	472
573	634	471
574	635	469
575	636	468
576	638	467
577	639	466
578	640	465
579	641	464
580	642	463
581	643	462
582	644	461
583	645	460
584	646	458
585	648	457
586	649	456
587	650	455
588	651	454
589	652	453
590	653	452
591	654	451
592	655	450
593	656	448
594	657	447
595	658	446
596	660	445
597	661	444
598	662	443
599	663	442
600	664	441
601	665	440
602	666	438
603	667	437
604	668	436
605	670	435
606	671	434
607	672	433
608	673	432
609	674	431
610	675	430
611	676	428
612	677	427
613	678	426
614	679	425
615	680	424
616	682	423
617	683	422
618	684	421
619	685	420
620	686	418
621	687	417
622	688	416
623	689	415
624	690	414
625	691	413
626	692	412
627	693	411
628	694	409
629	695	408
630	697	407
631	698	406
632	699	405
633	700	404
634	701	403
635	702	402
636	703	400
637	704	399
638	705	398
639	706	397
640	707	396
641	708	395
642	710	394
643	711	393
644	712	391
645	713	390
646	714	389
647	715	388
648	716	387
649	717	386
650	718	385
651	719	384
652	720	383
653	721	381
654	722	380
655	723	379
656	725	378
657	726	377
658	727	376
659	728	375
660	729	374
661	730	372
662	731	371
663	732	370
664	733	369
665	734	368
666	736	367
667	737	366
668	738	365
669	739	364
670	740	363
671	741	362
672	743	361
673	744	360
674	745	358
675	746	357
676	747	356
677	748	355
678	749	354
679	750	353
680	751	352
681	753	351
682	754	350
683	755	348
684	756	347
685	757	346
686	758	345
687	759	344
688	760	343
689	761	342
690	762	341
691	763	339
692	764	338
693	765	337
694	766	336
695	767	335
696	769	334
697	770	333
698	771	332
699	772	330
700	773	329
701	774	328
702	775	327
703	776	326
704	777	325
705	778	324
706	779	323
707	780	322
708	781	320
709	783	319
710	784	318
711	785	317
712	786	316
713	787	315
714	788	314
715	789	313
716	790	312
717	791	311
718	793	309
719	794	308
720	795	307
721	796	306
722	797	305
723	798	304
724	799	303
725	800	302
726	801	301
727	803	300
728	804	298
729	805	297
730	806	296
731	807	295
732	808	294
733	809	293
734	810	292
735	811	291
736	812	290
737	813	288
738	815	287
739	816	286
740	817	285
741	818	284
742	819	283
743	820	282
744	821	281
745	822	280
746	823	279
747	824	277
748	826	276
749	827	275
750	828	274
751	829	273
752	830	272
753	831	271
754	832	270
755	833	269
756	834	267
757	835	266
758	836	265
759	837	264
760	839	263
761	840	262
762	841	261
763	842	260
764	843	259
765	844	257
766	845	256
767	846	255
768	847	254
769	848	253
770	849	252
771	850	251
772	852	250
773	853	249
774	854	248
775	855	246
776	856	245
777	857	244
778	858	243
779	859	242
780	860	241
781	861	240
782	862	239
783	864	238
784	865	236
785	866	235
786	867	234
787	868	233
788	869	232
789	870	231
790	871	230
791	872	229
792	873	228
793	874	226
794	875	225
795	876	224
796	878	223
797	879	222
798	880	221
799	881	220
800	882	219
801	883	218
802	884	217
803	885	215
804	886	214
805	887	213
806	889	212
807	890	211
808	891	210
809	892	209
810	893	208
811	894	207
812	895	205
813	896	204
814	897	203
815	898	202
816	899	201
817	901	200
818	902	199
819	903	198
820	904	197
821	905	196
822	906	194
823	907	193
824	908	192
825	909	191
826	910	190
827	912	189
828	913	188
829	914	187
830	915	186
831	916	185
832	917	183
833	918	182
834	919	181
835	920	180
836	921	179
837	922	178
838	924	177
839	925	176
840	926	175
841	927	174
842	928	172
843	929	171
844	930	170
845	931	169
846	932	168
847	934	167
848	935	166
849	936	165
850	937	164
851	938	163
852	940	162
853	941	161
854	943	159
855	944	158
856	946	157
857	948	156
858	949	155
859	951	154
860	953	153
861	954	152
862	956	151
863	958	150
864	959	149
865	961	148
866	962	147
867	964	146
868	966	145
869	967	144
870	968	143
871	970	142
872	971	141
873	972	140
874	974	139
875	975	138
876	977	137
877	978	135
878	979	134
879	980	133
880	981	132
881	982	131
882	983	130
883	984	129
884	985	128
885	986	126
886	987	125
887	988	124
888	990	123
889	991	122
890	992	121
891	993	120
892	994	119
893	995	118
894	996	116
895	997	115
896	998	114
897	1000	113
898	1001	112
899	1002	111
900	1003	110
901	1004	109
902	1005	108
903	1006	106
904	1007	105
905	1008	104
906	1009	103
907	1010	102
908	1011	101
909	1013	100
910	1014	99
911	1015	97
912	1016	96
913	1017	95
914	1018	94
915	1019	93
916	1020	92
917	1021	91
918	1022	90
919	1024	89
920	1025	87
921	1026	86
922	1027	85
923	1028	84
924	1029	83
925	1030	82
926	1031	81
927	1032	80
928	1033	79
929	1034	77
930	1035	76
931	1037	75
932	1038	74
933	1039	73
934	1040	72
935	1041	71
936	1042	70
937	1043	68
938	1044	67
939	1045	66
940	1046	65
941	1047	64
942	1048	63
943	1050	62
944	1051	61
945	1052	60
946	1053	58
947	1054	57
948	1055	56
949	1056	55
950	1057	54
951	1058	53
952	1059	52
953	1061	51
954	1062	50
955	1063	48
956	1064	47
957	1065	46
958	1066	45
959	1067	44
960	1068	43
961	1069	42
962	1070	41
963	1071	40
964	1072	38
965	1073	37
966	1075	36
967	1076	35
968	1077	34
969	1078	33
970	1079	32
971	1080	31
972	1081	30
973	1082	28
974	1083	27
975	1084	26
976	1086	25
977	1087	24
978	1088	23
979	1089	22
980	1090	21
981	1091	20
982	1092	18
983	1093	17
984	1094	16
985	1095	15
986	1097	14
987	1098	13
988	1099	12
989	1100	11
990	1101	10
991	1102	8
992	1103	7
993	1104	6
994	1105	5
995	1106	4
996	1107	3
997	1108	2
998	1110	1
999	1111	0
