,training_time [s],accuracy,precision,recall,f1,auc
logistic_regression,0.01,0.7312072892938497,0.6075949367088608,0.35555555555555557,0.4485981308411215,0.7096734892787525
naive_bayes,0.0,0.662870159453303,0.46524064171123,0.6444444444444445,0.5403726708074534,0.6966252436647175
knn,0.0,0.6697038724373576,0.45098039215686275,0.34074074074074073,0.3881856540084388,0.6222222222222222
decision_tree,0.01,0.5671981776765376,0.34806629834254144,0.4666666666666667,0.39873417721518983,0.5392543859649124
random_forest,0.29,0.7129840546697038,0.5616438356164384,0.3037037037037037,0.3942307692307693,0.7014619883040936
AdaBoost,0.11,0.7175398633257403,0.5679012345679012,0.34074074074074073,0.42592592592592593,0.6833942495126706
XGBoost,0.11,0.7038724373576309,0.5238095238095238,0.4074074074074074,0.4583333333333333,0.6807992202729045
CatBoost,28.77,0.7129840546697038,0.5818181818181818,0.23703703703703705,0.3368421052631579,0.7180068226120858
