,training_time [s],accuracy,precision,recall,f1,auc
XGBoost_isotonic,303.25,0.728929,0.593023,0.377778,0.461538,0.711087
XGBoost_platt,303.25,0.731207,0.607595,0.355556,0.448598,0.710063
XGBoost,303.25,0.719818,0.75,0.133333,0.226415,0.707286
logistic_regression_isotonic,2.04,0.726651,0.588235,0.37037,0.454545,0.704167
logistic_regression_platt,2.04,0.726651,0.594937,0.348148,0.439252,0.702656
logistic_regression,2.04,0.708428,1,0.051852,0.098592,0.702266
random_forest_isotonic,56.28,0.731207,0.626866,0.311111,0.415842,0.701937
random_forest_platt,56.28,0.735763,0.623377,0.355556,0.45283,0.69905
random_forest,56.28,0.722096,0.597015,0.296296,0.39604,0.697368
knn_isotonic,1.86,0.703872,0.54717,0.214815,0.308511,0.683126
knn_platt,1.86,0.712984,0.6,0.2,0.3,0.682943
AdaBoost,4.78,0.70615,0.534091,0.348148,0.421525,0.680068
AdaBoost_isotonic,4.78,0.703872,0.530864,0.318519,0.398148,0.672844
AdaBoost_platt,4.78,0.701595,0.529412,0.266667,0.35468,0.671126
CatBoost_platt,435.21,0.70615,0.588235,0.148148,0.236686,0.669883
CatBoost_isotonic,435.21,0.710706,0.605263,0.17037,0.265896,0.667495
naive_bayes_isotonic,2.04,0.722096,0.606557,0.274074,0.377551,0.665156
knn,1.86,0.701595,0.529412,0.266667,0.35468,0.660916
naive_bayes_platt,2.04,0.692483,0,0,0,0.659211
naive_bayes,0,0.43508,0.331343,0.822222,0.47234,0.656871
decision_tree_isotonic,4.33,0.71754,0.58209,0.288889,0.386139,0.652522
decision_tree_platt,4.33,0.722096,0.606557,0.274074,0.377551,0.65184
decision_tree,4.33,0.71754,0.617021,0.214815,0.318681,0.649366
CatBoost,435.21,0.703872,0.53012,0.325926,0.40367,0.635819
