,feature_importance,feature_name
0,0.18,P_tim_popularity
1,0.12,P_tim_TYFCB
2,0.08,year_of_membership
4,0.06,P2_tim_V
5,0.06,RRI
6,0.06,P_tim_retention
16,0.04,P_by_M
13,0.04,RGI
12,0.04,RGO
11,0.04,RRO
10,0.04,1-2-1
9,0.04,CEU
8,0.04,chapter_size
7,0.04,P_by_S
3,0.04,P2
14,0.02,L
15,0.02,P_by_A
17,0.02,P_tim_growth
18,0.02,M
19,0.0,total_meetings
