,feature_importance,feature_name
19,0.08456572939419196,P_tim_TYFCB
15,0.06808630998829047,P_tim_retention
17,0.06471838999134942,P_tim_popularity
16,0.06169126814433748,P_tim_growth
4,0.061400878019411936,RGO
12,0.06108359004900096,P_by_A
7,0.05876491054713856,1-2-1
6,0.05439379065097138,RRO
10,0.05262499170333709,chapter_size
8,0.052252771990866,CEU
3,0.050781945969561725,RGI
18,0.04922366001143769,P2_tim_V
20,0.04795082610124783,P2
14,0.04503504275377332,P_by_S
5,0.04406367546923744,RRI
13,0.035604901957483046,P_by_M
9,0.030601342549853566,year_of_membership
0,0.028742274907326375,A
11,0.028475265633387266,total_meetings
1,0.012223773841971647,L
2,0.007714660325824843,M
