,feature_importance,feature_name
2,0.09898272500996334,1-2-1
0,0.08951092422929689,P_tim_TYFCB
1,0.08115759591042312,P2
6,0.07895640045998949,RRO
3,0.07517155471505299,P_tim_popularity
5,0.07505558427852661,P_by_A
4,0.07318067784633472,RGI
7,0.06483118440181254,P_tim_growth
9,0.05406383800787369,P_by_S
8,0.053082101173170186,RGO
11,0.05116548715505603,P_tim_retention
13,0.04297131905355579,P2_tim_V
10,0.03896774365956519,CEU
14,0.03771656194487571,RRI
12,0.034606110256522396,chapter_size
15,0.024764055849550343,total_meetings
16,0.014957654516981042,year_of_membership
17,0.01085848153144974,L
