,feature_importance,feature_name
0,0.22,P_tim_TYFCB
1,0.14,P_tim_popularity
2,0.12,P_tim_retention
5,0.1,1-2-1
3,0.08,P_by_M
6,0.08,P2
9,0.08,P2_tim_V
4,0.06,RRI
7,0.06,year_of_membership
8,0.06,P_by_S
