,feature_importance,feature_name
0,0.3391124547843442,A
1,0.2876118743310415,year_of_membership
2,0.22768151016395782,P_tim_popularity
3,0.21308073492325996,P2
4,0.19543267671913386,chapter_size
5,0.17405092565487634,M
6,0.16946470031063318,P_by_M
7,0.16885156775471002,1-2-1
8,0.14792248072524994,P_by_S
9,0.14127611895001577,RGO
10,0.13957573656459663,P_tim_TYFCB
11,0.13626169552665165,RGI
12,0.13251439842759283,total_meetings
13,0.09764706365090756,L
14,0.09156989420365978,P2_tim_V
15,0.04403447014099373,RRI
