,feature_importance,feature_name
0,0.32207670118461684,A
1,0.2879338653743299,year_of_membership
2,0.2273104491341579,P_tim_popularity
3,0.19278202539202952,P2
4,0.19115635264513306,chapter_size
5,0.17513497255108118,M
6,0.1708474526174292,P_by_M
7,0.16383176319025422,1-2-1
8,0.1473760348131763,P_by_S
9,0.13959054052643377,RGO
10,0.1385896331522531,P_tim_TYFCB
11,0.13772092245620557,RGI
12,0.1341720112877834,total_meetings
13,0.09613582297159613,L
14,0.0917098356034995,P2_tim_V
15,0.038104145027193725,RRI
16,0.026408764125945318,P_by_A
17,0.025300761394385873,P_tim_retention
18,0.015009424584741105,RRO
19,0.008540326221839393,P_tim_growth
