,feature_importance,feature_name
0,9.613091807440217,P_tim_popularity
1,7.795917900479583,P_tim_retention
4,7.32046908150876,P_tim_TYFCB
2,7.216267365799766,P_by_A
3,6.987971700326778,1-2-1
5,6.947580224911442,chapter_ID
8,6.471346206979889,P2_tim_V
6,6.030347967264907,RGI
10,5.989623628440553,P_tim_growth
7,5.670481684814434,RGO
9,5.6369220438698875,chapter_size
11,5.164251767480873,RRO
12,4.197345610020162,RRI
14,3.926241301585844,P_by_S
15,3.8424068881643976,P2
13,3.662826463404232,CEU
16,3.526908357508262,total_meetings
