,feature_importance,feature_name
0,4.968966704579166,P2
13,2.0109595223846153,A
8,1.8812078219090909,M
9,1.7721805964547164,year_of_membership
2,1.5999192438025733,P_tim_TYFCB
1,1.5170632204704197,RGO
7,1.5070560992823991,P_by_A
3,1.4331253717826669,P_tim_popularity
6,1.3779072424430308,1-2-1
17,1.3392456576859166,P_by_S
15,1.3304553360725335,chapter_size
12,1.3290914393636366,L
11,1.2792383516987798,P_tim_retention
14,1.27290726525394,RRO
18,1.2718160686874997,total_meetings
10,1.2273680618981018,P2_tim_V
4,1.2054111554690656,RGI
16,1.128086653522672,RRI
5,1.0158715913170733,CEU
19,0.8825345632099997,P_by_M
