,feature_importance,feature_name
0,7.693054046263302,P2
15,2.3090288503636365,A
9,1.8402152066666666,M
2,1.7030363610189756,P_tim_TYFCB
1,1.5571446020302635,RGO
8,1.5482944960574714,P_by_A
10,1.404108224755,year_of_membership
7,1.4015120360693252,1-2-1
14,1.3768128620833335,L
13,1.3570683291842276,P_tim_retention
4,1.3247203605007145,RGI
3,1.3200421880928381,P_tim_popularity
6,1.2933438603445344,P2_tim_V
19,1.2714745677272727,total_meetings
16,1.23057673815042,RRO
18,1.2233934703012979,P_by_S
17,1.2103385670811968,RRI
11,1.2034616518150008,chapter_size
5,1.1848803556809857,CEU
20,1.1476080734859997,P_by_M
12,1.1369100054495216,P_tim_growth
