,feature_importance,feature_name
0,8.110594698963144,P_tim_popularity
1,7.361785654645505,P_tim_retention
2,7.21230562614616,P_tim_TYFCB
3,7.000301038212816,1-2-1
7,5.91405995363891,chapter_ID
5,5.725430898228063,RGI
4,5.714213366346524,RGO
8,5.612817574398597,P2_tim_V
6,5.409671835247952,P_tim_growth
9,5.404152117155497,chapter_size
12,4.867493133550839,RRO
10,4.574879692517833,P_by_A
11,4.345423291066245,RRI
14,4.284468802587793,CEU
13,3.9102090933417326,P_by_S
18,3.1402487478834376,A
16,3.130345470109208,total_meetings
15,3.074978226473338,year_of_membership
17,3.0691276899513658,P2
19,2.137493089535084,P_by_M
