,feature_importance,feature_name
0,0.08887332983590289,P_tim_TYFCB
1,0.07243478015132447,P_tim_retention
2,0.07120844302236136,P_tim_popularity
3,0.06948517814222417,P_by_A
5,0.06379312276310692,P_tim_growth
6,0.06298007297315958,1-2-1
4,0.05949420826221585,RGO
7,0.05720783445818781,RRO
8,0.05515449395823566,CEU
10,0.05435477825204559,RGI
9,0.05409600648058994,chapter_size
11,0.05224926167459046,P2_tim_V
13,0.04847100192444117,P_by_S
14,0.047118681789798195,RRI
12,0.04633349463810863,P2
15,0.03780795817708433,P_by_M
16,0.03383248447500922,year_of_membership
17,0.025104869021613827,A
