,feature_importance,feature_name
1,0.09885705652726308,P_tim_TYFCB
0,0.08639582945566782,1-2-1
2,0.0768336875761397,P2
6,0.0764115982405632,RGI
4,0.0760563307141738,P_tim_popularity
3,0.07508289564157923,RRO
5,0.06966021682337581,P_by_A
8,0.06488818417597172,P_by_S
7,0.05994401095738703,P_tim_growth
12,0.05228901729603268,CEU
11,0.049504014148828546,P2_tim_V
10,0.04840701079477084,P_tim_retention
9,0.04605182650351575,RGO
13,0.03884901412766423,RRI
14,0.03529874038061306,chapter_size
15,0.0270537854520457,total_meetings
16,0.01841678118440779,year_of_membership
