,feature_importance,feature_name
0,8.84375387292551,P_tim_popularity
1,7.536085931060997,P_tim_retention
3,6.75410018131068,1-2-1
2,6.533281118055776,P_tim_TYFCB
8,6.078135130286189,P_tim_growth
5,5.992984574710983,RGI
4,5.879613715766398,chapter_ID
6,5.850603449126662,RGO
9,5.746525338531845,chapter_size
7,5.577064861397479,P2_tim_V
11,5.355373992214953,P_by_A
10,5.018519043267546,RRO
12,4.511062943929511,RRI
14,4.386407516483877,P_by_S
13,3.6977805343510077,CEU
16,3.424638382206845,total_meetings
18,3.0727148650110374,P2
17,2.9855122144757043,year_of_membership
15,2.7558423348870296,A
