,feature_importance,feature_name
1,0.09034514404207943,1-2-1
0,0.08928605645110464,P_tim_TYFCB
5,0.08282977385836315,RRO
3,0.07899564174328141,P2
4,0.07309417949333565,RGI
2,0.06936324985440045,P_tim_popularity
7,0.06602144188037228,P_tim_growth
6,0.05878752320717555,P_by_A
9,0.05484961376774084,P_tim_retention
8,0.05308119347541331,P_by_S
13,0.05291529766984754,CEU
11,0.04888331692621586,RGO
10,0.03539539511119319,chapter_size
14,0.034447994321976746,P2_tim_V
12,0.033341490481672904,RRI
15,0.026932607274753214,total_meetings
16,0.021241501601504027,year_of_membership
17,0.012756581643105055,L
18,0.010105374741151132,A
19,0.007326622455313598,M
