,feature_importance,feature_name
0,0.0940075143553914,P_tim_TYFCB
1,0.07254101410295746,P_tim_retention
2,0.06468312718284794,P_tim_popularity
3,0.06251820181235697,P_by_A
6,0.061242764243811976,RGO
4,0.060910127621326436,P_tim_growth
5,0.05909170963921331,1-2-1
7,0.05542215942933001,RRO
8,0.05440487635544601,CEU
9,0.05345809223121458,chapter_size
11,0.052044734175501775,RGI
10,0.050429962823342105,P2_tim_V
13,0.04901524424910033,P2
12,0.046581378008041144,P_by_S
14,0.0444860466546679,RRI
15,0.035176768172647074,P_by_M
16,0.031127294711449968,year_of_membership
17,0.027925987243770135,A
18,0.024932996987583545,total_meetings
