,feature_importance,feature_name
0,4.5254598587163635,P2
2,1.5731018889297421,P_tim_TYFCB
13,1.5581689832537495,A
7,1.5051145180815186,P_by_A
3,1.422638048048246,P_tim_popularity
15,1.4169982367494522,chapter_size
17,1.38303509863245,P_by_S
11,1.3793681283446315,P_tim_retention
1,1.3744785300796705,RGO
9,1.369294394458731,year_of_membership
8,1.3057598059285713,M
6,1.2902179216745144,1-2-1
4,1.2836349337573683,RGI
10,1.252098156411236,P2_tim_V
18,1.1991146314109091,total_meetings
14,1.1534059127383722,RRO
12,1.0328426404799997,L
5,1.024865620289943,CEU
16,0.9824322034977272,RRI
