,feature_importance,feature_name
1,0.22,P_tim_TYFCB
0,0.2,P_tim_popularity
2,0.14,P_tim_retention
3,0.08,P_by_M
4,0.06,RRI
5,0.06,1-2-1
8,0.06,P2
10,0.06,year_of_membership
6,0.04,P_by_S
7,0.04,P2_tim_V
9,0.04,RGI
