,feature_importance,feature_name
0,0.0964670644995205,P_tim_TYFCB
2,0.07647601921594549,P_tim_popularity
1,0.07199994153825254,P_tim_retention
3,0.07195632649627365,P_by_A
4,0.06415883318469083,P_tim_growth
5,0.06249709237761598,1-2-1
6,0.06096349623751738,RGO
7,0.059319305982231736,RRO
10,0.05537622130984229,chapter_size
8,0.05445060404060012,CEU
11,0.053964702569681965,P2_tim_V
9,0.05370746725549507,RGI
14,0.052341671866374694,P2
13,0.04831520845234295,RRI
12,0.047672961020316484,P_by_S
15,0.038931724952824535,P_by_M
16,0.03140135900047393,year_of_membership
