,feature_importance,feature_name
0,8.379267443457353,P_tim_popularity
1,7.6977067339829475,P_tim_retention
2,6.987621800379147,P_tim_TYFCB
4,6.388496820205092,1-2-1
6,6.2247338805649735,RGO
3,5.925747691834816,RGI
7,5.905839239213798,P_tim_growth
5,5.786169706898408,chapter_ID
9,5.5603816492642295,P2_tim_V
8,5.55118240172223,chapter_size
10,5.303982888787203,P_by_A
12,4.373041609751149,RRI
11,4.333702382803535,RRO
13,3.7840787342151403,P_by_S
14,3.3184619552980665,CEU
15,3.1958096379734013,year_of_membership
17,2.756203311108076,total_meetings
18,2.6439685145721166,P2
16,2.555394380153326,A
19,1.9234653214868827,P_by_M
20,1.40474389632812,L
