,feature_importance,feature_name
0,3.755956042392646,P2
7,1.5994537285475412,P_by_A
8,1.5018639828083333,M
14,1.4894318313894737,A
1,1.4138418335977887,RGO
6,1.4066452253164377,chapter_size
13,1.4036203999315788,L
2,1.3974298752360006,P_tim_TYFCB
9,1.3875012160132882,year_of_membership
16,1.2750837589108488,1-2-1
3,1.268270624028523,P_tim_popularity
4,1.2651899152797548,RGI
12,1.2641562016281342,P_tim_retention
15,1.2607027908773816,RRO
10,1.2485158280201143,P2_tim_V
5,1.1137289458928403,P_by_S
11,1.030713855927142,total_meetings
