,feature_importance,feature_name
0,0.3226981295769377,A
1,0.2860680439135368,year_of_membership
2,0.2274047334219597,P_tim_popularity
3,0.19471855732386897,P2
4,0.1908934696348014,chapter_size
5,0.17495987603367255,M
6,0.1701863591618486,P_by_M
7,0.1632462438987319,1-2-1
8,0.1474719207034492,P_by_S
9,0.1399562190056874,RGO
10,0.13873538230789037,P_tim_TYFCB
11,0.13751223376628136,RGI
12,0.13373826052542373,total_meetings
13,0.09637770684796695,L
14,0.09194931857882331,P2_tim_V
15,0.037691876075771055,RRI
17,0.028070770068103264,P_tim_retention
16,0.02555436013035243,P_by_A
18,0.015474632982691788,RRO
