,feature_importance,feature_name
0,0.09183555488776571,P_tim_TYFCB
1,0.09068080080136733,1-2-1
5,0.07954808015087311,RRO
2,0.0768336875761397,P2
3,0.07572332883952264,RGI
4,0.06884398670644618,P_tim_popularity
8,0.06880111043763756,P_tim_growth
6,0.06856118547945,P_by_A
12,0.06657260558055679,RGO
11,0.06337509064987185,P_tim_retention
7,0.06295234109477682,P_by_S
10,0.05841337960246653,P2_tim_V
14,0.03450277044812179,chapter_size
9,0.03444937383934838,CEU
13,0.031843169132137326,RRI
15,0.027063534773518298,total_meetings
