,feature_importance,feature_name
0,9.423636806672919,P_tim_popularity
1,7.259718947993444,P_tim_retention
10,6.922222705946442,P_by_A
2,6.786532368657894,1-2-1
3,6.7744946057126825,P_tim_TYFCB
6,6.2693571258603376,chapter_ID
5,6.22425115539494,RGI
7,6.145589506059046,RGO
9,6.013042835245327,P2_tim_V
8,5.828104397453092,chapter_size
4,5.648001913200332,P_tim_growth
11,5.106338503229326,RRO
12,4.233356809223207,RRI
14,3.857111307282664,CEU
13,3.794802213606821,P_by_S
16,3.4041469184771183,P2
15,3.3129188001567567,total_meetings
17,2.996373079827619,year_of_membership
