,feature_importance,feature_name
19,0.09496190792705644,P_tim_TYFCB
7,0.08423854075738497,1-2-1
17,0.08378020438057394,P_tim_popularity
20,0.07683368757613972,P2
3,0.07318067784633475,RGI
6,0.0702914827700523,RRO
12,0.07009619035531163,P_by_A
16,0.06221050843444683,P_tim_growth
14,0.06180338662347017,P_by_S
15,0.05896200423997485,P_tim_retention
10,0.04570414164784989,chapter_size
4,0.04503411968886446,RGO
5,0.0372192812894033,RRI
8,0.0366976917840664,CEU
18,0.03309656298750472,P2_tim_V
11,0.021755048495609768,total_meetings
9,0.016563677612572034,year_of_membership
1,0.011760521365359213,L
0,0.008148850823095018,A
2,0.004227821482410469,M
13,0.003433691912519199,P_by_M
