,feature_importance,feature_name
0,0.24,P_tim_popularity
1,0.22,P_tim_TYFCB
4,0.14,P_by_M
2,0.12,1-2-1
3,0.12,P_tim_retention
5,0.1,P2_tim_V
6,0.06,RRI
