,feature_importance,feature_name
0,0.08624243073195055,P_tim_TYFCB
1,0.06945364218887026,P_tim_retention
2,0.06584002232603019,P_tim_popularity
5,0.06500602418624946,P_by_A
3,0.06120314595691134,P_tim_growth
6,0.05894681401361236,1-2-1
4,0.058663889886216694,RGO
7,0.05515139194350008,RRO
9,0.05461200721849168,CEU
8,0.053333505518732366,chapter_size
11,0.051431294420086954,P2_tim_V
10,0.0486235230336687,RGI
13,0.047912143838667286,P_by_S
12,0.04619513121222847,P2
14,0.04351235136432973,RRI
15,0.036453583311254374,P_by_M
16,0.030281818049069497,year_of_membership
17,0.027393458650478104,A
18,0.026643360372309587,total_meetings
19,0.01310046177734232,L
